,Title,Shop_Name,Is_Ad,Star_Rating,Num_Reviews,Price,Is_Bestseller,Num_Sales,Num_Basket,Description,Days_to_Arrival,Cost_Delivery,Returns_Accepted,Dispatched_From,Num_Images,Category
43,"Biscuit card birthday card / Anniversary card / Valentines day card ""You're a McFittie"" Card for boyfriend girlfriend husband wife",0,0,,,,1,370,0,"Elegant luxurious card made from my own digital artwork. High quality materials and reproduction, with a Japanese-inspired image.  The Story I created this image on my iPad Pro back in 2018 and it has been popular both as a card and as an art print. It shows the Windmill on Wimbledon Common on a",2.0,0.0,1,United Kingdom,10,birthday card
44,"Japan Style Card, Christmas Card, Blank for Your Greeting, Japan Birthday Card",0,0,,,,1,70,0,"Original art print greetings card by Worcestershire based artist Ivan Maxwell Jones. Professionally printed on high quality heavyweight card. The cards are 17x12.5 cm, (6.7 x 5) Supplied with a quality brown paper envelope and presented in a cellophane wrap. Each design is taken from an original",4.0,1.5,0,United Kingdom,6,birthday card
45,"ANY AGE Personalised Birthday Card for Her ""Balloons amongst the Stars"". Happy 18th, 21st, 30th, 40th, 50th Card for Daughter Granddaughter",83,0,5,"1,082",3.99,1,"8,982",20,"Celebrate the milestone of a special birthday in style with this original papercut birthday card. It features heart shaped balloons displaying the chosen age, set amongst a clutter of stars, with the recipients name incorporated to create a thoughtful, personalised card. If your chosen age does not",4.0,1.1,1,United Kingdom,6,birthday card
46,"Funny Cat Birthday Card, Needle Felt Party Cats Illustration Cards, Quirky Humour Animals",63,0,5,344,3.80,1,"1,882",15,Funny birthday card picturing cute needle felted cats having a very awkward party. Maybe someone needs to get out the catnip!  Size - 148mm x 148mm Envelope - Kraft Material - 300gsm Trucard  Blank inside for your own personal message.  Cards are sent first class by Royal Mail in a hardbacked,,1.5,1,United Kingdom,1,birthday card
47,Funny Birthday Card for him or her | Imagine how amazing your birthday could have been,36,0,5,"3,803",3.50,1,"36,940",20,"Details Funny Birthday card designed exclusively by For Cards Sake  Reads Imagine how amazing your birthday could have been  Inside of card: Blank  -Size: 7x5 -Original design -Printed on white, 400gsm cardstock -Professionally printed, cut and scored -Includes vintage style brown envelope  Packaged",3.0,0.0,1,United Kingdom,1,birthday card
48,Favourite Human Birthday Card | Boyfriend Birthday Card | Card for her | Card for boyfriend | Card for him | Cute birthday cards,78,0,5,555,3.00,1,"5,075",20,"IMPORTANT DELIVERY UPDATE: With the increased orders and with Royal Mail now not delivering on Saturday’s there may be a slight delay in orders, please order with plenty of time in advance of needing them. They will still be with you in a speedy manor but just slightly more delayed than usual. Thank",3.0,0.85,1,United Kingdom,2,birthday card
49,Personalised Papercut Birthday Card For Boy And Girl - Birthday Card For Baby Boy - First Bithday Card - 1st Birthday Card - 1st 2nd 3rd,109,0,5,"2,095",3.18,1,"15,925",20,"Send the little one your wishes in style on their birthday with our Personalised Papercut Age Birthday Card. Its the perfect card to gift to celebrate the special day.    The papercut is presented on a standard card format, so all your wishes written inside the card will not be visible from the",4.0,0.0,1,United Kingdom,1,birthday card
50,"RuPaul 'Category is Birthday Realness' RuPaul Drag Race, RuPaul Doll, Happy Birthday, Birthday Card, Drag Queen, GAY, RuPaul Birthday Card.",16,0,5,192,2.99,1,"1,345",20,A6 sized greeting card with a white envelope. (Blank inside)   Delivery Information:  - We dispatch all UK orders on a FIRST CLASS delivery. - We send all orders within a protective hardback envelope to avoid any bends and damages. - Please note First Class does not guarantee next day delivery.  ,3.0,0.79,0,United Kingdom,2,birthday card
51,FLOWER BIRTHDAY CARD | Birthday Card for Her | Orchid Card | Flower Photo Card | Floral Birthday Card | Birthday Card | Botanical Card,18,0,5,93,2.30,1,"1,011",20,"Flower birthday card featuring a pink orchid on a white background, photographed in my home studio. The card has a 1.5cm white border around the image.  Please be aware that I am unable to personalise cards or send them directly to the recipient.  This is a single birthday card with Happy Birthday",4.0,1.0,0,United Kingdom,3,birthday card
52,"I love you this much. Wife, girlfriend, friend, birthday, anniversary, love,  red enamel heart - hand enamelled art card.",106,0,5,"2,672",2.95,1,"22,690",20,"This little chap has his arms stretched as far as they’ll go, to show just how much you love them.  Choose from A6 (105mm x 148mm) or supersize to A5 (148 x 210mm).  The glossy red love heart is hand enamelled wood.  Save on postage - We only charge P&P for the first item no matter how many you buy.",3.0,1.0,1,United Kingdom,6,birthday card
